"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 1, 14, 122
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 9, 59
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\external-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 2, 3, 26
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\haptic-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 1, 2, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\hello-wave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\parallax-scroll-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 7, 80
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\themed-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 6, 61
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\themed-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 5, 15
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 6, 46
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 2, 33
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 11, 5, 45
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\theme.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 8, 5, 54
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\DebtContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 222, 2, 26, 250
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 14, 105
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\debt-tracker-app.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\eslint.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 1, 2, 11
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 3, 6, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-theme-color.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 4, 4, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package-lock.json", "JSON", 0, 13002, 0, 0, 0, 0, 0, 1, 13003
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 1, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\scripts\reset-project.js", "JavaScript", 0, 0, 0, 89, 0, 0, 10, 14, 113
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 78, 13052, 34, 97, 69, 3538, 59, 408, 17335
